preZGA_RNA,eight_cell_RNA,ICM_RNA,hESC_RNA,preZGA_Ribo,eight_cell_Ribo,ICM_Ribo,hESC_Ribo
RNF212,TP53TG3D,PITRM1-AS1,METRN,LOC100505716,SESN2,PRICKLE1,MGME1
RNF213,TPBG,PITX1,METTL1,LOC100505915,SETD1A,PRICKLE3,MGST1
RNF216,TPD52L3,PITX2,METTL17,LOC100506016,SETD2,PRICKLE4,MGST3
RNF219,TPI1P2,PITX3,METTL22,LOC100506207,SETD4,PRKAG3,MIA
RNF219-AS1,TPM3P9,PIWIL4,METTL23,LOC100506321,SETX,PRKCD,MIA-RAB4B
RNF24,TPPP,PKD1P5-LOC105376752,METTL25,LOC100506422,SF1,PRKD1,MIAT
RNF34,TPPP3,PKD1P6-NPIPP1,METTL26,LOC100506544,SF3B5,PRKG1-AS1,MICA
RNF38,TPRKB,PKDREJ,METTL27,LOC100506551,SF3B6,PRKX,MICAL1
RNF8,TPRX1,PKN2,METTL2A,LOC100506585,SFSWAP,PRLHR,MICALL1
RNFT1,TPSB2,PKN3,METTL3,LOC100506691,SFTPB,PRLR,MICOS10
RNU11,TPST1,PKP1,METTL5,LOC100506725,SFTPD,PRMT3,MICU3
RNU12,TPT1,PKP2,METTL6,LOC100506747,SGCG,PRND,MID1
RNU5B-1,TPTE,PKP3,METTL7A,LOC100506869,SGK1,PRO1804,MID1IP1
RNU5E-1,TRA2A,PLA2G10,METTL7B,LOC100507144,SGK2,PROCR,MID2
RNU5F-1,TRAPPC6B,PLA2G15,METTL8,LOC100507156,SGK3,PRODH,MIEF2
RNU6ATAC,TRARG1,PLA2G4B,MEX3A,LOC100507351,SGMS1-AS1,PROM1,MIF
ROBO2,TRIAP1,PLA2G4D,MFAP2,LOC100507384,SGPP1,PROS1,MIG7
ROBO4,TRIM23,PLA2G4E,MFAP4,LOC100507388,SH3BGRL3,PROX1,MINCR
ROCK1P1,TRIM29,PLAC4,MFAP5,LOC100507506,SHANK2-AS1,PROZ,MINDY1
ROPN1L-AS1,TRIM38,PLAC8,MFF,LOC100507634,SHANK2-AS3,PRPF40B,MINPP1
ROS1,TRIM39,PLAC8L1,MFGE8,LOC100631378,SHC4,PRPSAP1,MIOS
RP9,TRIM39-RPP21,PLAC9P1,MFNG,LOC100652758,SHCBP1L,PRR15L,MIPOL1
RPA1,TRIM41,PLBD1,MFSD12,LOC100996351,SHH,PRR22,MIR100
RPAP3,TRIM43B,PLCB4,MFSD13A,LOC100996413,SHOX,PRR25,MIR103A2
RPGR,TRIM52,PLCD1,MFSD2B,LOC100996419,SHQ1,PRR27,MIR1204
RPH3A,TRIM60,PLCD3,MFSD3,LOC100996447,SIAH1,PRR32,MIR1226
RPIA,TRIM61,PLCXD2,MFSD6L,LOC100996664,SIGLEC15,PRR35,MIR125A
RPL13AP3,TRIM64C,PLCXD3,MFSD9,LOC100996671,SIGLEC5,PRR5-ARHGAP8,MIR1296
RPL23AP87,TRIM67,PLD2,MGAT4C,LOC101060553,SIGLEC6,PRR9,MIR1305
RPL26L1,TRIM7,PLEC,MGC27345,LOC101448202,SIK1B,PRRC2B,MIR130A
RPRD2,TRIM74,PLEKHA2,MGST1,LOC101593348,SIKE1,PRRG4,MIR130B
RPS6KA5,TRIR,PLEKHD1,MGST3,LOC101926892,SILC1,PRRT1B,MIR135A2
RPS6KA6,TRMT10A,PLEKHF1,MIAT,LOC101926905,SIM2,PRRT3-AS1,MIR141
RPS6KC1,TRMT10C,PLEKHG6,MICA,LOC101926913,SIRT1,PRSS12,MIR155
RRAGB,TROAP,PLEKHG7,MICAL1,LOC101926964,SIX2,PRSS16,MIR15A
RRAGC,TRPM6,PLEKHM1P1,MICB,LOC101927021,SKA2,PRSS23,MIR17
RRM2B,TRRAP,PLEKHO2,MICOS10,LOC101927023,SKA3,PRSS35,MIR184
RS1,TRY2P,PLGLB1,MID1IP1,LOC101927051,SLA,PRSS36,MIR187
RSAD2,TSC2,PLGLB1.1,MID1IP1-AS1,LOC101927124,SLAMF6,PRSS38,MIR18B
RSPH1,TSFM,PLGLB2,MIEF2,LOC101927131,SLC10A2,PRSS53,MIR193B
RSPO2,TSG1,PLGLB2.1,MIF-AS1,LOC101927143,SLC10A4,PRSS54,MIR197
RSPO4,TSKS,PLIN2,MIG7,LOC101927157,SLC15A3,PRXL2A,MIR200CHG
RSU1,TSLP,PLK1,MINPP1,LOC101927164,SLC15A5,PSAP,MIR205
RTEL1-TNFRSF6B,TSNAX-DISC1,PLLP,MIOS,LOC101927245,SLC16A1,PSAPL1,MIR205HG
RTKN2,TSNAXIP1,PLN,MIPOL1,LOC101927296,SLC16A11,PSG1,MIR20A
RTL4,TSPOAP1-AS1,PLOD1,MIR1181,LOC101927310,SLC16A6,PSG11,MIR21
RTL9,TSPYL6,PLPP1,MIR155HG,LOC101927322,SLC16A8,PSG4,MIR210
RTN1,TSR1,PLPP3,MIR302CHG,LOC101927354,SLC16A9,PSG5,MIR24-2
RTN4,TSSK6,PLSCR4,MIR3198-2,LOC101927356,SLC17A2,PSG6,MIR26A1
RTN4IP1,TTC14,PLSCR5,MIR3613,LOC101927359,SLC18A1,PSG9,MIR26A2
RTN4R,TTC23L,PLXNA2,MIR3654,LOC101927377,SLC18A3,PSMD12,MIR27A
RTP1,TTC28-AS1,PLXNA3,MIR3654.1,LOC101927391,SLC1A4,PSME4,MIR27B
RTRAF,TTC6,PLXNB1,MIR3661,LOC101927402,SLC22A10,PSMG3,MIR28
RTTN,TTC7A,PLXND1,MIR4435-2HG,LOC101927410,SLC22A16,PSPN,MIR301A
RUBCN,TTC9B,PMM2,MIR4697HG,LOC101927446,SLC22A18AS,PTCHD1,MIR302A
RUNX1,TTI2,PMP22,MIR503HG,LOC101927450,SLC22A25,PTCHD4,MIR302C
RUNX1T1,TTL,PNMA2,MIR568,LOC101927488,SLC22A4,PTCSC1,MIR302CHG
RWDD2B,TTLL7,PNMA3,MKKS,LOC101927502,SLC22A8,PTER,MIR302D
RXYLT1-AS1,TTPA,PNMA5,MKLN1-AS,LOC101927543,SLC23A3,PTGES,MIR30A
RYR2,TTR,PNMA6E,MKX,LOC101927550,SLC24A4,PTGES2-AS1,MIR3191
RYR3,TUBA3C,PNPLA6,MLEC,LOC101927560,SLC25A25,PTGR1,MIR31HG
S100Z,TUBB1,PNPLA7,MLF2,LOC101927575,SLC25A31,PTHLH,MIR326
SAA2,TUG1,PNPO,MLH1,LOC101927588,SLC25A32,PTMA,MIR328
SAA2-SAA4,TULP1,PNPT1,MLIP,LOC101927630,SLC25A36,PTMAP11,MIR330
SACM1L,TVP23B,PODN,MLST8,LOC101927657,SLC25A41,PTPN18,MIR34A
SALL3,TVP23C-CDRT4,PODNL1,MMAB,LOC101927666,SLC25A44,PTPRO,MIR3609
SAMD1,TWNK,POF1B,MME,LOC101927691,SLC25A47,PTPRQ,MIR361
SAMD12,TWSG1,POLD1,MMEL1,LOC101927814,SLC25A51P1,PTPRU,MIR3648-2
SAMD12-AS1,TYROBP,POLE,MMP10,LOC101927815,SLC26A3,PTS,MIR3655
SAMD4B,TYW1,POLR2H,MMP11,LOC101927851,SLC27A1,PTTG1IP,MIR374B
SAMD9,TYW1B,POLR2L,MMP15,LOC101927877,SLC28A1,PUS1,MIR3917
SAMD9L,U2SURP,POLR3A,MMP16,LOC101927907,SLC28A2,PVR,MIR423
SAMHD1,UAP1,POLR3E,MMP17,LOC101927911,SLC2A13,PWAR5,MIR4435-2HG
SAP130,UBBP4,POLR3H,MMP19,LOC101927964,SLC2A14,PWWP2B,MIR4442
SAP25,UBE2B,POLRMT,MMP23B,LOC101927989,SLC2A3,PYGB,MIR4468
SAP30,UBE2C,POM121L10P,MMP24,LOC101928009,SLC2A5,PYHIN1,MIR450A1
SART3,UBE2DNL,POM121L2,MMP25,LOC101928021,SLC30A7,PZP,MIR4521
SASS6,UBE2E1-AS1,POM121L8P,MMP25-AS1,LOC101928035,SLC32A1,QARS,MIR4728
SAV1,UBE2G1,POMT1,MMP9,LOC101928068,SLC34A2,QRFPR,MIR4742
SAXO1,UBE2L3,POMT2,MMS19,LOC101928100,SLC35E1,QRICH2,MIR4787
SAYSD1,UBE4A,POP1,MOAP1,LOC101928105,SLC35E2A,QRSL1,MIR486-1
SBF2,UBE4B,POPDC2,MOB3C,LOC101928107,SLC35E4,R3HDML,MIR505
SBSPON,UBL3,PORCN,MOCS3,LOC101928123,SLC35F2,RAB11FIP1,MIR520G
SCAF1,UBL5,POU2AF1,MOG,LOC101928135,SLC35F3,RAB11FIP3,MIR550A3
SCAF8,UBN2,POU5F1P4,MOGAT1,LOC101928222,SLC35G3,RAB11FIP4,MIR671
SCAI,UBP1,POU5F1P5,MORC2,LOC101928266,SLC35G4,RAB14,MIR6739
SCAMP1,UBR7,POU6F1,MORC2-AS1,LOC101928269,SLC37A2,RAB15,MIR6777
SCAPER,UBTD1,PP7080,MORF4L1,LOC101928295,SLC39A3,RAB18,MIR6789
SCARA5,UBTFL1,PPAN-P2RY11,MORF4L2,LOC101928304,SLC39A5,RAB25,MIR6790
SCARNA17,UBXN2A,PPARG,MORF4L2-AS1,LOC101928306,SLC46A2,RAB30-DT,MIR6807
SCARNA9,UBXN6,PPARGC1B,MORN4,LOC101928336,SLC47A2,RAB3IL1,MIR6809
SCAT8,UBXN7,PPCS,MOSPD3,LOC101928343,SLC4A1AP,RAB3IP,MIR6875
SCEL,UBXN7-AS1,PPFIA4,MOXD1,LOC101928386,SLC4A4,RAB40A,MIR7113
SCG2,UBXN8,PPFIBP1,MPC2,LOC101928389,SLC51B,RAB40AL,MIR762
SCGB1B2P,UCN,PPIAL4H,MPDU1,LOC101928398,SLC5A4-AS1,RAB42,MIR8072
SCIN,UFM1,PPIAP46,MPDZ,LOC101928401,SLC5A5,RAB5IF,MIR92A1
SCLY,UHMK1,PPIC,MPI,LOC101928416,SLC5A8,RAB6C,MIR92B
SCML1,ULBP3,PPIE,MPL,LOC101928424,SLC6A3,RAB7A,MIRLET7F2
SCN1A,ULK2,PPIEL,MPLKIP,LOC101928437,SLC7A5P2,RABGGTA,MIS18BP1
SCN9A,UNC45B,PPIF,MPND,LOC101928438,SLC7A6OS,RAD21L1,MITD1
SCOC,UNC80,PPM1B,MPP3,LOC101928491,SLC9A3,RAD23A,MKKS
SCYL3,UPF1,PPM1N,MPP6,LOC101928517,SLCO1B3,RAD23B,MKRN2OS
SDCCAG8,UPF2,PPP1R12B,MPPED2,LOC101928530,SLCO1B7,RAD51,MKX
SDK1,UPK1A,PPP1R13L,MPST,LOC101928557,SLFN11,RAD51-AS1,MLANA
SEC14L1,UQCC3,PPP1R14A,MPV17,LOC101928627,SLFN12L,RAD51AP2,MLF2
SEC22A,URB1-AS1,PPP1R16B,MPV17L,LOC101928661,SLITRK1,RAD9A,MLH1
SEC23IP,URI1,PPP1R21,MRAP2,LOC101928700,SLPI,RAET1G,MLH3
SEC24A,USH1C,PPP1R27,MRC2,LOC101928764,SLU7,RAF1,MLPH
SEC62,USP1,PPP1R3G,MREG,LOC101928782,SLURP2,RALBP1,MLST8
SECISBP2,USP12,PPP1R8,MRFAP1,LOC101928797,SMAD5-AS1,RALGAPA1,MMAB
SECISBP2L,USP32P1,PPP1R9A,MRFAP1L1,LOC101928812,SMARCD2,RALGAPA2,MME
SEMA3C,USP32P2,PPP2R3A,MRGPRF,LOC101928823,SMC3,RANBP10,MMP10
SEMA4B,USP32P3,PPP2R5A,MRM1,LOC101928882,SMC4,RANBP3L,MMP14
SEMA4D,USP38,PPP3CB-AS1,MRM2,LOC101928902,SMC5,RAP1A,MMP17
SEMA4F,USP42,PPP3R2,MRPL1,LOC101928907,SMC5-AS1,RAP2A,MMP19
SEMA5A,USP6,PPP5D1,MRPL10,LOC101928911,SMCO1,RAP2B,MMP2
SENP6,USP7,PPT2,MRPL11,LOC101928937,SMG1P1,RAPGEF2,MMP25
SERAC1,USPL1,PPY2P,MRPL13,LOC101928944,SMG1P3,RAPGEF4,MMP9
SERINC2,UTP11,PQLC1,MRPL16,LOC101928994,SMG5,RARRES1,MMRN2
SERINC3,UTP15,PRAP1,MRPL17,LOC101929076,SMIM10L2B,RASAL2-AS1,MMS19
SERINC5,UTP20,PRCD,MRPL19,LOC101929089,SMIM15,RASD1,MN1
SERPINF1,UTP23,PRDM1,MRPL2,LOC101929106,SMIM18,RASSF1,MNAT1
SERPINF2,UTP25,PRDM12,MRPL20-AS1,LOC101929122,SMIM27,RASSF2,MOB3C
SERPINI2,UTP3,PRDM13,MRPL21,LOC101929124,SMOC1,RASSF8,MOCS1
SERTM1,UTP6,PRDM16-DT,MRPL23,LOC101929140,SMOX,RBAK-RBAKDN,MOCS3
SERTM2,UTS2,PRDX1,MRPL24,LOC101929188,SMR3A,RBBP8NL,MOGS
SESN1,UXT,PREB,MRPL27,LOC101929269,SMURF2P1-LRRC37BP1,RBM14-RBM4,MORC2
SESTD1,UXT-AS1,PRELID3B,MRPL28,LOC101929294,SMYD1,RBM15-AS1,MORF4L1
SETD4,VAMP1,PRF1,MRPL3,LOC101929295,SNAI1,RBM47,MORF4L2
SETDB1,VASH1,PRG2,MRPL30,LOC101929315,SNAP47,RBMXL1,MORF4L2-AS1
SETDB2-PHF11,VCPKMT,PRH1-PRR4,MRPL33,LOC101929340,SNAPC1,RBMXL2,MORN1
SFI1,VHL,PRH2,MRPL37,LOC101929380,SNAPC2,RBSN,MORN4
SFMBT1,VHLL,PRICKLE1,MRPL38,LOC101929384,SNAPC4,RCAN3,MOV10
SFR1,VIT,PRKAG3,MRPL39,LOC101929413,SNAPC5,RCBTB1,MOXD1
SFRP5,VKORC1L1,PRKCSH,MRPL4,LOC101929427,SNAR-G2,RCC1,MPDU1
SFT2D2,VMO1,PRKD3,MRPL42,LOC101929431,SNCA-AS1,RCE1,MPI
SGCZ,VMP1,PRLR,MRPL45,LOC101929488,SNF8,RD3L,MPP6
SGMS2,VNN3,PRNCR1,MRPL47,LOC101929523,SNHG1,RDH16,MPPE1
SGO2,VPS26A,PRND,MRPL49,LOC101929532,SNHG10,REEP1,MPPED2
SGSH,VPS4B,PROCR,MRPL51,LOC101929551,SNHG11,REEP6,MPST
SH2B1,VPS53,PRODH,MRPL52,LOC101929570,SNHG15,REG1A,MPV17L
SH2B3,VPS54,PROKR2,MRPL54,LOC101929662,SNHG17,RELL1,MR1
SH2D4B,VSTM2L,PROM1,MRPL58,LOC101929698,SNHG19,REM2,MRAP2
SH2D6,VTI1A,PRORSD1P,MRPL9,LOC101929705,SNHG21,RFPL1S,MREG
SH3BGRL2,VWA8-AS1,PROS1,MRPS10,LOC101930370,SNHG25,RGCC,MRFAP1L1
SH3BP5,WASH3P,PRPF8,MRPS15,LOC102467217,SNHG26,RGL2,MRGBP
SH3BP5-AS1,WASH5P,PRR11,MRPS16,LOC102503427,SNHG3,RGPD4,MRGPRF
SH3KBP1,WBP11,PRR13,MRPS18B,LOC102723345,SNHG30,RGS13,MRI1
SHANK3,WDR11-AS1,PRR18,MRPS2,LOC102723493,SNHG32,RGS7BP,MRM1
SHCBP1,WDR43,PRR25,MRPS21,LOC102723517,SNHG5,RGS9,MRM2
SHE,WDR45,PRR35,MRPS22,LOC102723534,SNHG6,RGS9BP,MRPL1
SHH,WDR47,PRR7-AS1,MRPS27,LOC102723534.1,SNHG7,RHEX,MRPL10
SHOC1,WDR72,PRR9,MRPS28,LOC102723665,SNHG8,RHOB,MRPL11
SHOX2,WDR82,PRRC2B,MRPS31P5,LOC102723704,SNHG9,RHOBTB1,MRPL12
SHROOM2,WDR87,PRRC2C,MRPS34,LOC102723713,SNIP1,RHOC,MRPL13
SHTN1,WDR89,PRRG3,MRPS35,LOC102723753,SNORA101B,RHOT2,MRPL17
SIAH2,WFDC13,PRRT1B,MRPS6,LOC102723824,SNORA103,RHOU,MRPL19
SIDT2,WFDC8,PRRT4,MRPS7,LOC102723885,SNORA113,RHOV,MRPL2
SIN3A,WFIKKN2,PRRX1,MRPS9,LOC102724050,SNORA20B,RILP,MRPL21
SIPA1L1,WHAMM,PRSS12,MRTO4,LOC102724452,SNORA35B,RIMKLB,MRPL23
SIPA1L2,WNK3,PRSS23,MS4A12,LOC102724484,SNORA36B,RIN2,MRPL27
SIRPA,WNT5A,PRSS3,MS4A7,LOC102724562,SNORA41,RIN3,MRPL28
SIRPB1,WWTR1-AS1,PRSS36,MSANTD3-TMEFF1,LOC102724596,SNORA52,RING1,MRPL3
SKAP2,XAGE5,PRSS41,MSANTD4,LOC102724604,SNORA78,RINT1,MRPL30
SKI,XCL1,PRSS47,MSC,LOC102724659,SNORA80B,RIPK3,MRPL32
SKOR1,XCL2,PRSS48,MSGN1,LOC102724710,SNORA95,RIPK4,MRPL36
SKP1,XPO1,PSAP,MSMP,LOC102724720,SNORD107,RMDN2,MRPL39
SKP2,YAF2,PSAPL1,MSN,LOC102724804,SNORD115-34,RMDN2-AS1,MRPL42
SLAIN2,YEATS2,PSG4,MSRB1,LOC102724957,SNORD116-1,RMND1,MRPL45
SLBP,YKT6,PSG5,MSRB2,LOC103021295,SNORD116-16,RMRP,MRPL45P2
SLC10A7,YLPM1,PSG7,MSRB3,LOC103171574,SNORD116-23,RN7SK,MRPL47
SLC12A2,YME1L1,PSG9,MST1,LOC103611081,SNORD116-24,RN7SL1,MRPL48
SLC12A5,YOD1,PSMB11,MST1R,LOC104054148,SNORD116-29,RN7SL2,MRPL49
SLC12A8,YPEL2,PSMB3,MTA1,LOC105369147,SNORD118,RN7SL3,MRPL50
SLC13A3,YRDC,PSMC4,MTAP,LOC105369201,SNORD119,RNASE1,MRPL51
SLC17A8,YTHDF2,PSMC6,MTCH1,LOC105369332,SNORD11B,RNASE13,MRPL52
SLC18A1,YTHDF3,PSMD12,MTCH2,LOC105369443,SNORD135,RNASE2,MRPL54
SLC18A2,YTHDF3-AS1,PSMD6-AS2,MTCL1,LOC105369486,SNORD139,RNASE8,MRPL55
SLC18A3,YWHAEP1,PSME4,MTERF2,LOC105369879,SNORD14B,RNASEH2B-AS1,MRPL57
SLC19A2,YY1,PSORS1C2,MTERF4,LOC105370203,SNORD15B,RNF103,MRPS10
SLC22A10,ZBED3-AS1,PSTPIP2,MTFMT,LOC105370361,SNORD1A,RNF128,MRPS14
SLC22A15,ZBED5-AS1,PTAFR,MTFP1,LOC105370401,SNORD30,RNF133,MRPS15
SLC22A23,ZBED6,PTAR1,MTG1,LOC105370697,SNORD36C,RNF138P1,MRPS16
SLC24A5,ZBTB1,PTBP3,MTHFD1,LOC105370708,SNORD42A,RNF139,MRPS17
SLC25A14,ZBTB10,PTCHD1,MTHFD1L,LOC105370792,SNORD4A,RNF157,MRPS18A
SLC25A20,ZBTB11,PTGES,MTHFD2,LOC105371045,SNORD51,RNF165,MRPS18B
SLC25A22,ZBTB14,PTGR1,MTHFD2L,LOC105371730,SNORD54,RNF212B,MRPS18C
SLC25A30,ZBTB24,PTGS2,MTHFS,LOC105371795,SNORD55,RNF217-AS1,MRPS2
SLC25A31,ZBTB26,PTHLH,MTHFSD,LOC105371814,SNORD56,RNF31,MRPS22
SLC25A41,ZBTB34,PTOV1-AS1,MTLN,LOC105372038,SNORD66,RNF43,MRPS23
SLC25A42,ZBTB8A,PTPN12,MTMR11,LOC105372383,SNORD8,RNF44,MRPS24
SLC26A5,ZBTB9,PTPN20,MTMR12,LOC105372441,SNORD89,RNF6,MRPS26
SLC26A6,ZC3H12D,PTPN20.1,MTMR8,LOC105372493,SNORD9,RNFT1-DT,MRPS27
SLC26A8,ZC3H4,PTPN7,MTMR9LP,LOC105373352,SNORD98,RNU1-1,MRPS28
SLC27A6,ZCCHC10,PTPRU,MTURN,LOC105373496,SNRNP25,RNU11,MRPS30
SLC28A1,ZCCHC23,PTPRVP,MTX2,LOC105373562,SNRNP27,RNU12,MRPS33
SLC28A3,ZCCHC9,PTTG1IP,MUC1,LOC105373876,SNRNP35,RNU2-1,MRPS34
SLC2A12,ZDHHC17,PUM1,MUS81,LOC105374060,SNRNP48,RNU4-1,MRPS6
SLC2A4RG,ZEB2,PURA,MUTYH,LOC105374313,SNRPB2,RNU5A-1,MRPS9
SLC2A9,ZEB2-AS1,PUS1,MVB12A,LOC105374378,SNRPG,RNU5E-1,MSANTD3-TMEFF1
SLC30A4,ZER1,PVR,MVD,LOC105374988,SNTB2,RNU5F-1,MSANTD4
SLC30A7,ZFAND4,PWAR1,MXD3,LOC105375115,SNU13,RNU6-2,MSC
SLC33A1,ZFAND5,PWWP2A,MYADM,LOC105375166,SNUPN,RNU6-2.1,MSI1
SLC35A1,ZFC3H1,PWWP2B,MYBPHL,LOC105375504,SNW1,RNU7-1,MSN
SLC35A3,ZFHX4,PXMP4,MYCNOS,LOC105375545,SNX18,RNVU1-19,MSRB1
SLC35D1,ZFP14,PXN-AS1,MYD88,LOC105375556,SNX31,RNY1,MSRB2
SLC35G1,ZFP28,PYGB,MYEF2,LOC105375744,SOAT2,RNY5,MST1
SLC36A1,ZFP37,QARS,MYH10,LOC105375787,SOBP,ROGDI,MSTO1
SLC38A9,ZFP82,QRICH2,MYH2,LOC105376360,SON,RP1,MTA1
SLC39A10,ZFP91,RAB11FIP1,MYL12A,LOC105376671,SOWAHD,RP2,MTAP
SLC39A12,ZFYVE1,RAB11FIP2,MYL12B,LOC105377621,SOX18,RPL13P5,MTCH1
SLC39A12-AS1,ZFYVE19,RAB11FIP4,MYL6,LOC105377716,SOX21-AS1,RPL17-C18orf32,MTCH2
SLC39A14,ZFYVE28,RAB14,MYL6B,LOC105377849,SP1,RPL27,MTCL1
SLC39A6,ZGRF1,RAB15,MYL7,LOC105378311,SP100,RPL41,MTERF2
SLC41A1,ZIC1,RAB18,MYL9,LOC105378933,SPACA1,RPL9,MTF2
SLC41A2,ZIK1,RAB25,MYMX,LOC105379143,SPACA6P-AS,RPP38-DT,MTFMT
SLC43A2,ZIM3,RAB35,MYO10,LOC105379152,SPAG4,RPPH1,MTFP1
SLC43A3,ZKSCAN8,RAB3B,MYO16-AS1,LOC107984507,SPAG5,RPS10-NUDT3,MTG1
SLC44A5,ZMAT2,RAB3IL1,MYO19,LOC107984703,SPANXN1,RPS14P3,MTHFD1
SLC45A3,ZMAT5,RAB3IP,MYO1C,LOC107985246,SPANXN2,RPS16P5,MTHFD1L
SLC46A2,ZMYM1,RAB40AL,MYO3A,LOC107985544,SPATA17,RPS28,MTHFD2
SLC49A4,ZMYM6,RAB42,MYO5C,LOC107986794,SPATA31A3,RPS2P32,MTHFD2L
SLC4A5,ZMYND10,RAB5C,MYOZ1,LOC107986876,SPATA31A5,RPS6KA1,MTHFS
SLC4A7,ZNF100,RAB7A,MYOZ3,LOC112267871,SPATA31A5.1,RPS6KA4,MTHFSD
SLC51A,ZNF101,RAB8A,MYRF,LOC112267983,SPATA31A5.2,RPS6KA5,MTLN
SLC5A11,ZNF12,RABGGTB,MYSM1,LOC148709,SPATA31A7,RPS6KB1,MTMR12
SLC6A11,ZNF131,RAD23A,MZT2A,LOC254028,SPATA31A7.1,RPSAP52,MTMR9LP
SLC6A14,ZNF137P,RAD23B,MZT2B,LOC257396,SPATA31A7.2,RPUSD1,MTNR1A
SLC6A16,ZNF138,RAD51,N4BP2L1,LOC283045,SPATA31C1,RRAD,MTPN
SLC6A5,ZNF140,RAD9A,N4BP2L2-IT2,LOC283140,SPATA31C2,RRAGD,MTREX
SLC7A11-AS1,ZNF141,RAF1,N4BP3,LOC283299,SPATA31D4,RRBP1,MTRNR2L1
SLC7A7,ZNF157,RALBP1,N6AMT1,LOC283665,SPATA33,RRH,MTRR
SLC7A8,ZNF165,RALGAPA1P1,NAA10,LOC283922,SPATA5L1,RSBN1,MTX1
SLC7A9,ZNF169,RALGAPA2,NAA16,LOC284241,SPDYE1,RSPH14,MUC1
SLC8A1,ZNF174,RANGRF,NAA25,LOC284577,SPDYE16,RSPO3,MUTYH
SLC8A2,ZNF175,RAP1A,NAAA,LOC284798,SPDYE3,RSPRY1,MVD
SLC9A1,ZNF184,RAPGEF1,NAALADL1,LOC284865,SPDYE5,RSRC1,MXRA5
SLCO1B1,ZNF20,RAPGEF2,NAB2,LOC284898,SPDYE7P,RTL1,MYADM
SLCO1B3,ZNF208,RAPGEF3,NABP2,LOC284930,SPEM1,RTL3,MYBBP1A
SLF1,ZNF211,RAPGEF4-AS1,NACA,LOC285638,SPESP1,RTL4,MYBPC2
SLF2,ZNF212,RAPSN,NACC1,LOC285766,SPHK2,RTL8A,MYCBP2
SLIT1,ZNF213,RARRES1,NAE1,LOC285847,SPINK4,RTN2,MYCN
SLIT2-IT1,ZNF217,RASD1,NAGLU,LOC286059,SPINK7,RTP2,MYCNOS
SLIT3,ZNF221,RASD2,NAGS,LOC286359,SPOCK2,RTP3,MYD88
SLITRK1,ZNF224,RASGEF1A,NANOG,LOC339166,SPOP,RTP4,MYEF2
SMAD1,ZNF23,RASGEF1B,NANOGP8,LOC339298,SPRR2B,RTP5,MYH10
SMAD1-AS1,ZNF230,RASGRP2,NANS,LOC339685,SPRR2C,RUFY1,MYH14
SMAD3,ZNF233,RASSF2,NAP1L1,LOC339862,SPRYD3,RUNX1,MYH2
SMAD5,ZNF252P-AS1,RBAK,NAP1L2,LOC340357,SPSB3,RWDD1,MYH9
SMC1B,ZNF254,RBBP8NL,NAP1L3,LOC349160,SPTY2D1,RWDD2B,MYL12A
SMC2,ZNF256,RBL1,NAP1L4,LOC374443,SRCAP,RXFP1,MYL12B
SMC3,ZNF260,RBM10,NAP1L6,LOC375196,SREK1IP1,RXFP4,MYL2
SMC5-AS1,ZNF264,RBM12B-AS1,NAPA,LOC387810,SRFBP1,RXYLT1,MYL5
SMC6,ZNF266,RBM19,NAPA-AS1,LOC389602,SRGN,S100A1,MYL6
SMILR,ZNF268,RBM42,NAPEPLD,LOC389705,SRMS,S100A10,MYL6B
SMIM14,ZNF271P,RBM47,NAPRT,LOC389765,SRP14-AS1,S100A13,MYL7
SMIM17,ZNF273,RBM5,NAPSA,LOC390877,SRP54,S100A14,MYL9
SMIM29,ZNF280A,RBM5-AS1,NARS,LOC390937,SRPRA,S100A16,MYMX
SMIM41,ZNF283,RBMS1,NASP,LOC392232,SRR,S100A5,MYO10
SMIM8,ZNF284,RBMXL1,NAT14,LOC399815,SRRD,S100A6,MYO1C
SMKR1,ZNF286B,RBMXL2,NAT9,LOC400622,SRRM2,S100A8,MYO1D
SNAP91,ZNF296,RBMY1F,NAV1,LOC400655,SRRM5,S100A9,MYO1F
SNAPC1,ZNF300,RBMY1F.1,NAXE,LOC400682,SRRT,S100B,MYO5C
SNAPIN,ZNF302,RBPJL,NBAT1,LOC400800,SRSF1,S100P,MYOCD
SNHG18,ZNF321P,RBSN,NBDY,LOC401357,SRSF11,SALL4,MYOM3
SNORA63E,ZNF324B,RCAN3,NBEAL2,LOC401478,SRSF2,SAMD1,MYOZ1
SNORA77,ZNF326,RCBTB1,NCAM2,LOC401557,SRSF5,SAMD11,MYOZ3
SNORD142,ZNF345,RCC1,NCAPD2,LOC439933,SRSF6,SAMD13,MYSM1
SNORD27,ZNF347,RCC2,NCBP1,LOC440040,SSR1,SAMD4B,MZT2A
SNORD83A,ZNF350,RDH10-AS1,NCDN,LOC440570,SSSCA1-AS1,SAMD5,MZT2B
SNORD87,ZNF350-AS1,RDH13,NCF1C,LOC440570.1,SSX1,SAMD7,N4BP2L1
SNRK,ZNF354C,RDH16,NCL,LOC440910,SSX3,SAMD9,N4BP2L2-IT2
SNX10,ZNF37A,RECQL,NCOR2,LOC442028,ST3GAL2,SAP30BP,N4BP3
SNX12,ZNF394,REELD1,NCR3LG1,LOC442132,ST3GAL6,SAPCD2,NAA10
